######################
# python3 mul.py
cnt load p                x                y        p_en s_en done
  0    1 0000000000000000 0000000011111111 11111111    0    0    0
  1    0 0000000011111111 0000000111111110 01111111    1    1    0
  2    0 0000001011111101 0000001111111100 00111111    1    1    0
  3    0 0000011011111001 0000011111111000 00011111    1    1    0
  4    0 0000111011110001 0000111111110000 00001111    1    1    0
  5    0 0001111011100001 0001111111100000 00000111    1    1    0
  6    0 0011111011000001 0011111111000000 00000011    1    1    0
  7    0 0111111010000001 0111111110000000 00000001    1    1    0
  8    0 1111111000000001 1111111100000000 00000000    0    0    1
  9    0 1111111000000001 1111111100000000 00000000    0    0    1
255*255=65025
######################
# python3 mul.py 36 66
cnt load p                x                y        p_en s_en done
  0    1 0000000000000000 0000000000100100 01000010    0    0    0
  1    0 0000000000000000 0000000001001000 00100001    1    1    0
  2    0 0000000001001000 0000000010010000 00010000    0    1    0
  3    0 0000000001001000 0000000100100000 00001000    0    1    0
  4    0 0000000001001000 0000001001000000 00000100    0    1    0
  5    0 0000000001001000 0000010010000000 00000010    0    1    0
  6    0 0000000001001000 0000100100000000 00000001    1    1    0
  7    0 0000100101001000 0001001000000000 00000000    0    1    0
  8    0 0000100101001000 0010010000000000 00000000    0    0    1
  9    0 0000100101001000 0010010000000000 00000000    0    0    1
36*66=2376
######################
# python3 mul.py 100 200 255
cnt load p                x                y        p_en s_en done
  0    1 0000000000000000 0000000001100100 11001000    0    0    0
  1    0 0000000000000000 0000000011001000 01100100    0    1    0
  2    0 0000000000000000 0000000110010000 00110010    0    1    0
  3    0 0000000000000000 0000001100100000 00011001    1    1    0
  4    0 0000001100100000 0000011001000000 00001100    0    1    0
  5    0 0000001100100000 0000110010000000 00000110    0    1    0
  6    0 0000001100100000 0001100100000000 00000011    1    1    0
  7    0 0001110000100000 0011001000000000 00000001    1    1    0
  8    0 0100111000100000 0110010000000000 00000000    0    0    1
  9    0 0100111000100000 0110010000000000 00000000    0    0    1
100*200=20000
 10    1 0000000000000000 0000000011001000 11111111    0    0    0
 11    0 0000000011001000 0000000110010000 01111111    1    1    0
 12    0 0000001001011000 0000001100100000 00111111    1    1    0
 13    0 0000010101111000 0000011001000000 00011111    1    1    0
 14    0 0000101110111000 0000110010000000 00001111    1    1    0
 15    0 0001100000111000 0001100100000000 00000111    1    1    0
 16    0 0011000100111000 0011001000000000 00000011    1    1    0
 17    0 0110001100111000 0110010000000000 00000001    1    1    0
 18    0 1100011100111000 1100100000000000 00000000    0    0    1
 19    0 1100011100111000 1100100000000000 00000000    0    0    1
200*255=51000
######################
# python3 mul.py 169 171
cnt load p                x                y        p_en s_en done
  0    1 0000000000000000 0000000010101001 10101011    0    0    0
  1    0 0000000010101001 0000000101010010 01010101    1    1    0
  2    0 0000000111111011 0000001010100100 00101010    0    1    0
  3    0 0000000111111011 0000010101001000 00010101    1    1    0
  4    0 0000011101000011 0000101010010000 00001010    0    1    0
  5    0 0000011101000011 0001010100100000 00000101    1    1    0
  6    0 0001110001100011 0010101001000000 00000010    0    1    0
  7    0 0001110001100011 0101010010000000 00000001    1    1    0
  8    0 0111000011100011 1010100100000000 00000000    0    0    1
  9    0 0111000011100011 1010100100000000 00000000    0    0    1
169*171=28899
